,rd_seg_id,marker_id,rd_seg_dsc,geometry,centroid,lati,long,area_m2,bay_id,status
58,22227,20621S,Domain Road between Millswyn Street and Park Street,"MULTIPOLYGON (((144.980987864827 -37.833981531161, 144.9810604955 -37.833990983744, 144.981055590669 -37.83401468436, 144.980982961109 -37.834005231792, 144.980987864827 -37.833981531161)))",POINT (144.9810217280647 -37.8339981077389),-37.8339981077389,144.9810217280647,10.594298258148752,,Unknown
59,22710,20609S,Domain Road between Hope Street and Millswyn Street,"MULTIPOLYGON (((144.980264523218 -37.833894019823, 144.980333245565 -37.833903118329, 144.980328889441 -37.833923814794, 144.980260165964 -37.833914715365, 144.980264523218 -37.833894019823)))",POINT (144.9802967062484 -37.83390891713764),-37.83390891713764,144.98029670624842,8.761552060722249,,Unknown
60,21009,6561W,Abbotsford Street between Victoria Street and Elm Street,"MULTIPOLYGON (((144.945073587975 -37.804421966667, 144.945097748768 -37.804424745756, 144.945086880026 -37.804486875019, 144.945062262638 -37.804483808596, 144.945073587975 -37.804421966667)))",POINT (144.9450801084603 -37.80445445524325),-37.80445445524325,144.9450801084603,9.252141033410577,,Unknown
61,20095,2191S,Little Collins Street between Russell Street and Swanston Street,"MULTIPOLYGON (((144.966649080916 -37.814369103648, 144.966584936608 -37.814387963306, 144.96657783267 -37.81437131035, 144.966641564802 -37.814352692302, 144.966649080916 -37.814369103648)), ((144.966650252348 -37.814371660689, 144.966586028386 -37.81439052528, 144.966650241612 -37.814371637974, 144.966650252348 -37.814371660689)))",POINT (144.966613334445 -37.81437029272503),-37.81437029272503,144.96661333444501,7.159609033127442,,Unknown
62,,C6946,,"MULTIPOLYGON (((144.956040484518 -37.809283103701, 144.956037046146 -37.809302342691, 144.955974337972 -37.8092972836, 144.955978083717 -37.809277608372, 144.956040484518 -37.809283103701)))",POINT (144.956007365096 -37.80929008009481),-37.80929008009481,144.95600736509596,7.406358725102224,,Unknown
63,22834,7329W,King Street between Roden Street and Victoria Street,"MULTIPOLYGON (((144.949202607139 -37.805600261944, 144.949201613195 -37.805596694005, 144.949198294229 -37.805582780637, 144.949196339943 -37.805564741124, 144.949230190714 -37.805528892542, 144.949253004411 -37.805541955864, 144.94923213022 -37.805566106098, 144.949202607139 -37.805600261944)))",POINT (144.9492204250199 -37.80556051131506),-37.80556051131506,144.94922042501986,10.369179156768961,3594,Unoccupied
64,23236,13312N,Navigation Drive between Collins Street and Harbour Esplanade,"MULTIPOLYGON (((144.946730216225 -37.822247090612, 144.946735560592 -37.822225887306, 144.946802444452 -37.822236251051, 144.946797100104 -37.822257454361, 144.946730216225 -37.822247090612)))",POINT (144.9467663303434 -37.82224167083305),-37.82224167083305,144.9467663303434,8.83022445118523,,Unknown
65,23236,13310N,Navigation Drive between Collins Street and Harbour Esplanade,"MULTIPOLYGON (((144.946797100104 -37.822257454361, 144.946802444452 -37.822236251051, 144.946880601796 -37.82224885971, 144.946875174315 -37.822270030033, 144.946797100104 -37.822257454361)))",POINT (144.946838824891 -37.82225314586981),-37.82225314586981,144.946838824891,10.324143623278246,,Unknown
66,22277,20262E,St Leonards Court from Anderson Street,"MULTIPOLYGON (((144.985475119103 -37.829566517888, 144.985473109389 -37.829549449064, 144.985472069858 -37.829532345757, 144.985472511089 -37.829515237752, 144.98549515821 -37.829516675135, 144.985494792085 -37.82953257758, 144.985495789872 -37.829548473556, 144.985497677173 -37.829564337324, 144.985475119103 -37.829566517888)))",POINT (144.9854841949466 -37.82954072065864),-37.82954072065864,144.98548419494662,6.743364025727081,,Unknown
67,22277,20264E,St Leonards Court from Anderson Street,"MULTIPOLYGON (((144.985482653738 -37.829611319051, 144.985480302476 -37.829596368555, 144.98547779087 -37.829581434474, 144.985475119103 -37.829566517888, 144.985497677173 -37.829564337324, 144.985500297074 -37.829578957127, 144.985502759195 -37.829593594171, 144.985505063358 -37.829608247386, 144.985482653738 -37.829611319051)))",POINT (144.9854901965996 -37.82958759767455),-37.829587597674546,144.9854901965996,6.093033344190326,,Unknown
